o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,duration_min,static_duration_min,origin_name
19.287,-99.655,19.2608731,-99.668228,Instituto Agora,school,4730,943.0,943.0,0,ROUTE_EXISTS,15.716666666666667,15.716666666666667,O1_Conjunto
19.287,-99.655,19.3166497,-99.6355252,Instituto de estudios notariales del colegio de notarios del Estado de México,school,6475,925.0,925.0,0,ROUTE_EXISTS,15.416666666666666,15.416666666666666,O1_Conjunto
19.287,-99.655,19.2612418,-99.6353727,Primaria Karol,school,4348,872.0,872.0,0,ROUTE_EXISTS,14.533333333333333,14.533333333333333,O1_Conjunto
19.287,-99.655,19.2589627,-99.6717684,Escuela Primaria Urbana Federal Derechos De Los Niños,school,5686,968.0,968.0,0,ROUTE_EXISTS,16.133333333333333,16.133333333333333,O1_Conjunto
19.287,-99.655,19.2660522,-99.676934,Telesecundaria Benito Juarez Turno Vespertino,school,5350,1070.0,1070.0,0,ROUTE_EXISTS,17.833333333333332,17.833333333333332,O1_Conjunto
19.287,-99.655,19.2737349,-99.6193323,Centro De Educacion Para La Atencion De Jovenes Y Adultos Lorenzo De Zavala,school,4601,846.0,846.0,0,ROUTE_EXISTS,14.1,14.1,O1_Conjunto
19.287,-99.655,19.2795877,-99.6850638,Telesecundaria No 249 Jose Marti,school,5912,951.0,951.0,0,ROUTE_EXISTS,15.85,15.85,O1_Conjunto
19.287,-99.655,19.2608514,-99.6440528,Uaem Plantel Doctor Ángel Ma Garibay Kintana,school,3695,768.0,768.0,0,ROUTE_EXISTS,12.8,12.8,O1_Conjunto
19.287,-99.655,19.302299,-99.6300129,Colegio Niños De Mexico,school,4332,727.0,727.0,0,ROUTE_EXISTS,12.116666666666667,12.116666666666667,O1_Conjunto
19.287,-99.655,19.3166694,-99.6519136,Centro De Estudios Jesus Reyes Heroles,school,5170,833.0,833.0,0,ROUTE_EXISTS,13.883333333333333,13.883333333333333,O1_Conjunto
19.287,-99.655,19.3138923,-99.6479098,Escuela Primaria Alonso Gomez De Orozco S,school,4620,791.0,791.0,0,ROUTE_EXISTS,13.183333333333334,13.183333333333334,O1_Conjunto
19.287,-99.655,19.3060306,-99.6267523,Instituto Lavalle,school,5624,892.0,892.0,0,ROUTE_EXISTS,14.866666666666667,14.866666666666667,O1_Conjunto
19.287,-99.655,19.269457,-99.6327285,Escuela Primaria Adolfo Lopez Mateos,school,4824,879.0,879.0,0,ROUTE_EXISTS,14.65,14.65,O1_Conjunto
19.287,-99.655,19.3147833,-99.6498042,Colegio Springfield,school,4947,753.0,753.0,0,ROUTE_EXISTS,12.55,12.55,O1_Conjunto
19.287,-99.655,19.2660218,-99.6769877,Telesecundaria Oficial 040 Lic Benito Juarez,school,5347,1069.0,1069.0,0,ROUTE_EXISTS,17.816666666666666,17.816666666666666,O1_Conjunto
19.287,-99.655,19.3139292,-99.6478801,Usaer Numero 3,school,4621,791.0,791.0,0,ROUTE_EXISTS,13.183333333333334,13.183333333333334,O1_Conjunto
19.287,-99.655,19.3065534,-99.6341734,Leipzig Academia de Música,school,4037,664.0,664.0,0,ROUTE_EXISTS,11.066666666666666,11.066666666666666,O1_Conjunto
19.287,-99.655,19.2682639,-99.6745392,Instituto Educativo David Paul Ausubel,school,4905,944.0,944.0,0,ROUTE_EXISTS,15.733333333333333,15.733333333333333,O1_Conjunto
19.287,-99.655,19.3006958,-99.6323784,Instituto Simon Bolivar,school,3846,695.0,695.0,0,ROUTE_EXISTS,11.583333333333334,11.583333333333334,O1_Conjunto
19.287,-99.655,19.2676387,-99.6393583,Adansonia Instituto De Educacion Inicial,school,3412,733.0,733.0,0,ROUTE_EXISTS,12.216666666666667,12.216666666666667,O1_Conjunto
19.287,-99.655,19.260438100000002,-99.6382088,Centro Educativo Metepec,school,4845,952.0,952.0,0,ROUTE_EXISTS,15.866666666666667,15.866666666666667,O1_Conjunto
19.287,-99.655,19.2745803,-99.6824515,Colegio Alma Mater,school,5865,850.0,850.0,0,ROUTE_EXISTS,14.166666666666666,14.166666666666666,O1_Conjunto
19.287,-99.655,19.2659003,-99.673073,Secundaria Numero 006 Jose Maria Gonzalez Arratia,school,4922,967.0,967.0,0,ROUTE_EXISTS,16.116666666666667,16.116666666666667,O1_Conjunto
19.287,-99.655,19.2616629,-99.6594118,Instituto De Tae Tae Kwon Daehan Mexico,school,4484,918.0,918.0,0,ROUTE_EXISTS,15.3,15.3,O1_Conjunto
19.287,-99.655,19.2735504,-99.6902848,Escuela De Natación Acuática Navale,school,6420,1001.0,1001.0,0,ROUTE_EXISTS,16.683333333333334,16.683333333333334,O1_Conjunto
19.287,-99.655,19.2752478,-99.6840184,kinder Ma. Dolores Lopez gomez tagle,school,6213,923.0,923.0,0,ROUTE_EXISTS,15.383333333333333,15.383333333333333,O1_Conjunto
19.287,-99.655,19.3095115,-99.6705115,school (OSM),school,4854,967.0,967.0,0,ROUTE_EXISTS,16.116666666666667,16.116666666666667,O1_Conjunto
19.287,-99.655,19.2705748,-99.6295301,Instituto Cenca Plantel Benito Juarez,school,3578,723.0,723.0,0,ROUTE_EXISTS,12.05,12.05,O1_Conjunto
